2024-07-17 21:16:22,880 INFO    Thread-9 (_run_job):33860 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_setup.py:_flush():76] Configure stats pid to 33860
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_setup.py:_flush():76] Loading settings from /Users/wagnertamas/.config/wandb/settings
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_setup.py:_flush():76] Loading settings from /Users/wagnertamas/Documents/Munka/SUMO networks/gym_env_tester/wandb/settings
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'traffic-light-dqn', 'entity': 'wagnertamas-budapesti-m-szaki-s-gazdas-gtudom-nyi-egyetem', 'root_dir': '/Users/wagnertamas/Documents/Munka/SUMO networks/gym_env_tester', 'run_id': 'rbz8pyms', 'sweep_param_path': '/Users/wagnertamas/Documents/Munka/SUMO networks/gym_env_tester/wandb/sweep-tb9gd5fo/config-rbz8pyms.yaml', 'sweep_id': 'tb9gd5fo'}
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_pytorch.py', 'program_abspath': '/Users/wagnertamas/Documents/Munka/SUMO networks/gym_env_tester/main_pytorch.py', 'program': '/Users/wagnertamas/Documents/Munka/SUMO networks/gym_env_tester/main_pytorch.py'}
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_init.py:_log_setup():529] Logging user logs to /Users/wagnertamas/Documents/Munka/SUMO networks/gym_env_tester/wandb/run-20240717_211622-rbz8pyms/logs/debug.log
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_init.py:_log_setup():530] Logging internal logs to /Users/wagnertamas/Documents/Munka/SUMO networks/gym_env_tester/wandb/run-20240717_211622-rbz8pyms/logs/debug-internal.log
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_init.py:init():569] calling init triggers
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_init.py:init():576] wandb.init called with sweep_config: {'TAU': 0.01, 'batch_size': 128, 'eps_decay': 500, 'eps_start': 0.5424925656828302, 'fc_layer_size_1': 32, 'fc_layer_size_2': 64, 'gamma': 0.6873947123604365, 'learning_rate': 0.01824440161949076, 'num_episodes': 250}
config: {}
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_init.py:init():619] starting backend
2024-07-17 21:16:22,881 INFO    Thread-9 (_run_job):33860 [wandb_init.py:init():623] setting up manager
2024-07-17 21:16:22,886 INFO    Thread-9 (_run_job):33860 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-07-17 21:16:22,886 INFO    Thread-9 (_run_job):33860 [wandb_init.py:init():631] backend started and connected
2024-07-17 21:16:22,896 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_config_callback():1382] config_cb None None {'TAU': 0.01, 'batch_size': 128, 'eps_decay': 500, 'eps_start': 0.5424925656828302, 'fc_layer_size_1': 32, 'fc_layer_size_2': 64, 'gamma': 0.6873947123604365, 'learning_rate': 0.01824440161949076, 'num_episodes': 250}
2024-07-17 21:16:22,898 INFO    Thread-9 (_run_job):33860 [wandb_init.py:init():720] updated telemetry
2024-07-17 21:16:22,938 INFO    Thread-9 (_run_job):33860 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-17 21:16:23,385 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_on_init():2402] communicating current version
2024-07-17 21:16:23,501 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_on_init():2411] got version response 
2024-07-17 21:16:23,501 INFO    Thread-9 (_run_job):33860 [wandb_init.py:init():804] starting run threads in backend
2024-07-17 21:16:37,006 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_console_start():2380] atexit reg
2024-07-17 21:16:37,006 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-17 21:16:37,007 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-17 21:16:37,007 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-17 21:16:37,007 INFO    Thread-9 (_run_job):33860 [wandb_init.py:init():847] run started, returning control to user process
2024-07-17 21:36:51,124 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_finish():2109] finishing run wagnertamas-budapesti-m-szaki-s-gazdas-gtudom-nyi-egyetem/traffic-light-dqn/rbz8pyms
2024-07-17 21:36:51,124 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-07-17 21:36:51,124 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_restore():2332] restore
2024-07-17 21:36:51,124 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_restore():2338] restore done
2024-07-17 21:36:56,267 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_footer_history_summary_info():3991] rendering history
2024-07-17 21:36:56,268 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_footer_history_summary_info():4023] rendering summary
2024-07-17 21:36:56,272 INFO    Thread-9 (_run_job):33860 [wandb_run.py:_footer_sync_info():3950] logging synced files
